,CombinedP,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC
CDCA7,7.0631E-02,2.5038E-01,1.7683,1.8577E-01,0.9177,4.3209E-08,3.4031,5.6536E-01,0.9842
ZER1,7.1153E-02,2.5099E-01,-0.3724,1.1309E-02,-0.2801,1.4267E-02,-0.5980,7.2740E-01,-0.2390
E2F2,7.1330E-02,2.5120E-01,1.2822,1.0697E-01,0.9004,6.3158E-03,2.0410,6.4032E-01,0.9050
C5orf38,7.1568E-02,2.5148E-01,-0.5617,3.2693E-02,-0.5077,2.0300E-01,-0.5971,5.1875E-01,-0.5804
DSEL,7.1896E-02,2.5186E-01,-0.6619,2.2733E-01,-0.3276,4.3499E-01,-0.7223,9.3270E-02,-0.9357
FAM109B,7.3552E-02,2.5378E-01,-0.4282,8.7330E-02,-0.3507,1.9891E-01,-0.5056,4.7511E-01,-0.4283
ENPP4,7.4584E-02,2.5496E-01,-1.7168,3.4839E-01,-1.0577,1.0570E-01,-3.3084,3.1080E-01,-0.7842
COMP,7.4986E-02,2.5542E-01,-1.5756,9.2111E-02,-1.1130,6.3270E-01,-0.9751,4.1449E-02,-2.6387
MARCH8,7.5460E-02,2.5596E-01,-0.4919,4.7267E-02,-0.2650,2.9118E-01,-0.5746,4.2943E-01,-0.6361
ACSS1,7.5636E-02,2.5616E-01,-1.0168,5.3407E-05,-1.4082,7.5979E-01,-0.5510,8.6235E-03,-1.0913
SNHG1,7.6091E-02,2.5667E-01,0.6665,1.7447E-01,0.4201,1.8324E-08,1.1319,5.9553E-01,0.4476
FBLN5,7.6129E-02,2.5671E-01,-0.7436,3.0437E-02,-0.6928,3.0865E-10,-1.3622,7.3970E-01,-0.1758
MTSS1L,7.6863E-02,2.5753E-01,-0.6723,2.8787E-01,-0.3772,2.8858E-01,-0.5634,1.9616E-01,-1.0763
CABLES1,7.6976E-02,2.5766E-01,-0.8848,7.2505E-01,-0.1829,4.1081E-02,-0.5451,6.8471E-03,-1.9263
DOK4,7.7390E-02,2.5812E-01,-0.4510,1.5408E-04,-0.5919,1.0027E-01,-0.5028,6.7394E-01,-0.2582
ANP32E,7.7467E-02,2.5821E-01,0.5591,1.1317E-01,0.3739,1.7523E-02,1.0918,6.4392E-01,0.2117
FANCL,7.7991E-02,2.5879E-01,0.4319,3.5803E-02,0.3489,1.4806E-01,0.7124,5.9250E-01,0.2342
CDKN3,7.8089E-02,2.5890E-01,1.3212,3.3841E-01,0.5469,6.4726E-05,2.3859,4.3821E-01,1.0308
GDPD5,7.8351E-02,2.5919E-01,-0.6673,2.8939E-03,-0.6886,1.1839E-02,-1.0254,7.6282E-01,-0.2877
PLK1,7.8542E-02,2.5940E-01,1.2729,3.4539E-01,0.7061,1.3880E-03,2.4366,4.3141E-01,0.6759
METTL3,7.8851E-02,2.5974E-01,0.3771,2.4128E-01,0.2567,7.5949E-02,0.4913,4.6198E-01,0.3832
HOXD10,8.0219E-02,2.6123E-01,-2.2813,2.8055E-03,-3.0764,3.2232E-01,-2.5630,4.5856E-01,-1.2045
ECM2,8.0261E-02,2.6128E-01,-1.3372,4.1707E-01,-0.7424,6.4964E-02,-1.4862,3.0180E-01,-1.7830
SPAG5,8.1194E-02,2.6228E-01,1.1833,2.6274E-01,0.6946,1.3534E-05,2.3643,5.2409E-01,0.4910
GEN1,8.2041E-02,2.6319E-01,0.6984,3.0725E-02,0.5243,4.5098E-06,1.3607,7.5885E-01,0.2102
RETSAT,8.2523E-02,2.6371E-01,-0.4411,5.2604E-05,-0.5567,3.8528E-03,-0.6410,7.8721E-01,-0.1257
CCDC134,8.2596E-02,2.6378E-01,0.5604,2.3822E-01,0.3270,5.7640E-02,0.9197,4.9550E-01,0.4344
KCNK15,8.3937E-02,2.6520E-01,-1.1536,2.7302E-01,-0.8597,3.1055E-01,-1.3164,2.1205E-01,-1.2846
SNX21,8.4303E-02,2.6559E-01,-0.4393,1.0251E-01,-0.3424,4.9278E-01,-0.2584,2.0148E-01,-0.7173
FANCA,8.5036E-02,2.6636E-01,1.2067,7.5164E-02,0.7944,2.6973E-05,2.4224,7.2388E-01,0.4034
CYB561D1,8.5125E-02,2.6645E-01,-0.3270,4.1012E-02,-0.2839,8.6811E-03,-0.5465,7.4965E-01,-0.1505
GINS2,8.5508E-02,2.6685E-01,1.2929,2.8301E-01,0.6933,1.1774E-03,2.2851,5.1635E-01,0.9005
BORA,8.5975E-02,2.6733E-01,0.8805,3.0629E-02,0.6210,3.9873E-06,1.7399,7.7137E-01,0.2807
KRT16,8.6256E-02,2.6762E-01,2.3892,2.8016E-02,1.7063,7.7109E-01,0.8938,3.7706E-03,4.5676
SGOL1,8.6487E-02,2.6786E-01,1.4004,9.7635E-02,0.7855,4.0245E-05,2.8144,7.0591E-01,0.6012
SPC24,8.6711E-02,2.6809E-01,1.3088,3.3841E-01,0.6507,6.3790E-04,2.4875,4.6523E-01,0.7881
C19orf48,8.8637E-02,2.7006E-01,0.6529,1.7997E-01,0.5188,2.7049E-01,0.8001,3.5973E-01,0.6399
ERBB3,8.9122E-02,2.7056E-01,1.4863,1.1246E-02,1.9413,6.3669E-01,0.8571,1.6373E-01,1.6604
HMGN2,8.9736E-02,2.7118E-01,0.6241,5.2337E-01,0.2499,6.4005E-02,0.7634,2.2616E-01,0.8590
DLGAP5,9.0972E-02,2.7242E-01,1.3345,9.9229E-02,0.8652,5.0757E-06,2.5302,7.1801E-01,0.6079
ZNF503,9.1881E-02,2.7332E-01,-0.7654,3.4720E-02,-0.6031,4.2580E-01,-0.5826,3.5945E-01,-1.1105
MXD3,9.2363E-02,2.7380E-01,1.1585,4.9135E-01,0.4014,4.3913E-06,1.9862,3.3003E-01,1.0879
ISM1,9.3762E-02,2.7517E-01,-1.8381,2.5498E-01,-1.4339,5.2770E-02,-2.9096,5.1777E-01,-1.1709
ADARB1,9.4234E-02,2.7563E-01,-1.1322,7.6149E-01,-0.1967,6.5137E-02,-1.0109,2.7515E-04,-2.1889
WNT2B,9.4502E-02,2.7589E-01,1.7011,5.4458E-03,1.3974,8.1450E-01,0.4011,7.7345E-03,3.3047
SH3BP1,9.5031E-02,2.7641E-01,0.9856,6.3753E-01,0.2816,1.7690E-01,0.9171,1.4795E-02,1.7582
DLEU1,9.5239E-02,2.7661E-01,0.4918,3.7094E-02,0.4731,2.8741E-01,0.6628,5.0532E-01,0.3396
FGF7,9.6655E-02,2.7797E-01,-1.3015,4.6452E-01,-0.5797,1.8142E-01,-1.2660,1.8798E-01,-2.0587
SUV39H1,9.8426E-02,2.7966E-01,0.8842,1.5839E-01,0.5537,3.6198E-02,1.8350,6.4439E-01,0.2638
VGLL4,9.8853E-02,2.8007E-01,-0.5827,5.8791E-01,-0.1988,6.5233E-02,-0.8030,1.8705E-01,-0.7464
RP13-463N16.6,9.9010E-02,2.8021E-01,2.1448,8.1769E-01,0.2544,2.2243E-02,1.7835,7.0914E-04,4.3964
CCDC150,1.0004E-01,2.8119E-01,0.7886,1.5535E-01,0.4660,2.5727E-02,1.4136,6.6248E-01,0.4863
FNDC1,1.0197E-01,2.8298E-01,-2.0113,8.2585E-01,-0.3375,3.6677E-04,-3.7875,2.2729E-02,-1.9090
ARHGEF5,1.0211E-01,2.8311E-01,-0.9570,5.2818E-02,-0.8368,6.9626E-01,-0.5449,1.0024E-01,-1.4893
CDIPT,1.0277E-01,2.8372E-01,-0.2928,4.3091E-02,-0.2190,6.3718E-02,-0.5049,7.4434E-01,-0.1545
RABGGTB,1.0315E-01,2.8406E-01,0.4046,7.5931E-02,0.2795,2.8260E-01,0.4874,4.9366E-01,0.4468
MTL5,1.0318E-01,2.8409E-01,2.0311,7.4260E-01,0.3407,9.8941E-02,2.1164,1.0730E-02,3.6363
CD58,1.0322E-01,2.8413E-01,0.7030,5.0392E-01,0.1874,2.5182E-01,0.5843,9.6638E-02,1.3373
MPZL1,1.0360E-01,2.8448E-01,-0.4512,3.0872E-01,-0.2326,7.6636E-02,-0.5930,4.6808E-01,-0.5280
PCDH18,1.0395E-01,2.8480E-01,-0.7062,8.2876E-02,-0.7779,3.7705E-01,-0.4953,3.9446E-01,-0.8452
MARVELD1,1.0453E-01,2.8533E-01,-0.2783,2.3410E-02,-0.1971,1.4627E-01,-0.4478,6.8632E-01,-0.1900
ZIK1,1.0472E-01,2.8550E-01,0.3642,1.6652E-02,0.4262,2.6245E-01,0.4825,5.7739E-01,0.1841
ATP8B3,1.0496E-01,2.8571E-01,0.8130,6.7651E-01,0.3030,4.6796E-03,1.2585,1.7595E-01,0.8774
SMARCA2,1.0529E-01,2.8602E-01,-0.5272,6.0798E-01,-0.1998,1.8649E-01,-0.4601,6.3577E-02,-0.9216
KCTD2,1.0560E-01,2.8630E-01,-0.4017,1.4424E-01,-0.1935,5.0201E-01,-0.3697,2.1265E-01,-0.6420
RAD51,1.0563E-01,2.8633E-01,0.9187,1.2556E-01,0.6526,4.7141E-04,1.8255,7.3295E-01,0.2780
GID4,1.0600E-01,2.8666E-01,-0.3768,2.8654E-01,-0.2013,1.8159E-01,-0.4418,3.9184E-01,-0.4872
TMEM56,1.0724E-01,2.8778E-01,1.2006,5.1455E-01,0.4788,1.0491E-01,1.8767,2.4387E-01,1.2463
CENPH,1.0727E-01,2.8780E-01,1.1282,2.8240E-01,0.5662,1.6534E-05,2.2575,5.8099E-01,0.5610
NASP,1.0833E-01,2.8874E-01,0.6158,6.5693E-03,0.5873,7.0050E-05,1.1481,8.5959E-01,0.1120
LRRN4CL,1.0838E-01,2.8879E-01,-0.9025,1.1329E-01,-0.9170,1.1256E-02,-1.3918,7.4182E-01,-0.3986
MCM8,1.0852E-01,2.8891E-01,1.0014,5.7797E-02,0.6999,7.6213E-11,2.1084,8.0894E-01,0.1959
CYB561,1.0936E-01,2.8966E-01,-0.5421,8.1832E-03,-0.6498,6.2831E-01,-0.3594,2.3247E-01,-0.6169
CDC25C,1.0938E-01,2.8967E-01,1.4582,3.3404E-01,0.6887,1.9323E-04,2.9093,5.3477E-01,0.7765
ORC1,1.1080E-01,2.9092E-01,1.0764,2.2101E-01,0.7020,1.0914E-02,2.0032,6.4083E-01,0.5240
MAGOHB,1.1128E-01,2.9134E-01,0.4166,3.3717E-02,0.2001,5.2707E-01,0.4446,3.1324E-01,0.6051
CEP85,1.1143E-01,2.9147E-01,0.5405,5.8894E-02,0.4632,1.3136E-02,0.9734,8.0237E-01,0.1849
PRKD1,1.1152E-01,2.9155E-01,-0.4830,6.4992E-02,-0.4969,2.9214E-01,-0.4632,5.1751E-01,-0.4890
NUP88,1.1288E-01,2.9273E-01,0.3311,3.2101E-02,0.3522,3.6178E-01,0.4040,4.8432E-01,0.2372
HIAT1,1.1292E-01,2.9277E-01,-0.5683,2.1263E-01,-0.5050,2.3497E-01,-0.5355,4.3070E-01,-0.6642
HAT1,1.1299E-01,2.9283E-01,0.4303,6.3218E-02,0.3162,2.5114E-01,0.6713,5.6413E-01,0.3035
ASF1B,1.1355E-01,2.9330E-01,1.2682,2.7885E-01,0.7567,1.2859E-03,2.3822,5.9977E-01,0.6658
SKA1,1.1486E-01,2.9443E-01,1.3065,6.2126E-02,0.8959,1.2486E-02,2.6074,8.0869E-01,0.4162
ABHD14A,1.1506E-01,2.9460E-01,-0.4613,3.4004E-01,-0.2431,4.8267E-02,-0.7064,4.9550E-01,-0.4343
MYBL2,1.1514E-01,2.9467E-01,1.3746,1.0626E-01,0.9797,5.1109E-04,2.7013,7.7724E-01,0.4427
FANCD2,1.1583E-01,2.9526E-01,1.0589,1.1585E-01,0.6960,5.3991E-05,2.1517,7.6987E-01,0.3291
STMN2,1.1619E-01,2.9556E-01,-2.1072,1.4304E-02,-2.7120,4.4799E-07,-3.2938,8.7238E-01,-0.3159
RPL39L,1.1630E-01,2.9566E-01,0.7530,2.9530E-01,0.4760,1.6636E-01,0.9901,4.2531E-01,0.7927
CCDC77,1.1692E-01,2.9618E-01,0.4934,1.6200E-01,0.3820,4.0999E-04,0.8673,7.2613E-01,0.2310
CDCA5,1.1695E-01,2.9621E-01,1.0684,2.3917E-01,0.6731,3.6884E-03,2.0203,6.4576E-01,0.5117
CCDC15,1.1726E-01,2.9647E-01,0.9623,3.1753E-01,0.5618,7.2423E-04,1.8675,5.7115E-01,0.4577
TWIST2,1.1782E-01,2.9694E-01,-0.6586,2.3064E-02,-0.6428,4.3823E-03,-1.2204,8.6337E-01,-0.1126
CLEC2A,1.1813E-01,2.9720E-01,-2.9171,2.9856E-04,-3.2853,8.9086E-01,-0.7242,4.4314E-04,-4.7419
RAB11FIP3,1.1835E-01,2.9739E-01,-0.3668,1.3301E-01,-0.2633,2.5384E-01,-0.4487,5.0532E-01,-0.3885
CHAF1B,1.1867E-01,2.9766E-01,0.7603,1.3301E-01,0.5957,3.2845E-03,1.4994,7.5668E-01,0.1859
PBX1,1.1894E-01,2.9788E-01,-0.6081,1.5757E-01,-0.5607,2.9490E-03,-0.9283,7.3312E-01,-0.3353
ITGB5,1.1903E-01,2.9795E-01,-0.5748,6.0144E-01,-0.1549,8.6337E-02,-0.5640,2.0608E-01,-1.0056
ODF3B,1.1903E-01,2.9795E-01,-0.8828,5.9467E-02,-0.8727,1.7191E-01,-1.2621,6.6248E-01,-0.5136
ATAD5,1.1916E-01,2.9806E-01,1.0427,1.0013E-02,0.7693,2.5980E-05,2.2434,8.8414E-01,0.1155
DCN,1.1950E-01,2.9835E-01,-0.9611,5.7705E-01,-0.4502,1.1825E-01,-1.0822,1.9975E-01,-1.3511
ST6GALNAC6,1.1951E-01,2.9835E-01,-0.4520,1.3373E-01,-0.2800,2.6739E-01,-0.6236,4.9394E-01,-0.4523
E2F8,1.1955E-01,2.9839E-01,1.6238,4.4356E-03,1.1069,3.6227E-05,3.4878,8.9069E-01,0.2767
CRY2,1.2003E-01,2.9878E-01,-0.4339,2.3519E-01,-0.2197,2.4581E-01,-0.5498,4.1535E-01,-0.5323
EME1,1.2102E-01,2.9961E-01,1.1978,2.5079E-01,0.5848,2.6953E-05,2.5850,6.4800E-01,0.4236
FCRLA,1.2173E-01,3.0019E-01,1.0155,3.9465E-01,0.4746,2.6184E-01,0.8498,2.4406E-01,1.7220
BCL2L12,1.2178E-01,3.0023E-01,0.6122,4.0989E-01,0.3496,4.3064E-02,1.0788,4.4773E-01,0.4082
MIR29B1,1.2232E-01,3.0067E-01,1.0546,3.5444E-01,0.4895,5.2983E-01,0.8179,1.7742E-02,1.8563
MEDAG,1.2235E-01,3.0070E-01,-1.7663,8.8466E-01,-0.2010,5.5020E-03,-2.0763,1.1922E-02,-3.0216
RPF1,1.2235E-01,3.0070E-01,0.3411,9.0119E-02,0.3010,1.0514E-01,0.5395,7.0683E-01,0.1828
NUP37,1.2303E-01,3.0126E-01,0.4326,1.9402E-01,0.2576,1.2874E-01,0.5846,5.8101E-01,0.4554
MFAP4,1.2323E-01,3.0142E-01,-0.7610,4.9586E-01,-0.3566,1.6370E-03,-1.2038,4.0676E-01,-0.7226
NAALADL1,1.2375E-01,3.0184E-01,-0.5530,1.1352E-01,-0.4019,2.4868E-01,-0.6605,5.4331E-01,-0.5967
BUB1B,1.2412E-01,3.0214E-01,1.2799,4.6633E-02,0.9338,2.3215E-06,2.6353,8.5979E-01,0.2707
BUB1,1.2461E-01,3.0254E-01,1.1894,1.3744E-01,0.7067,2.6329E-06,2.3948,7.7017E-01,0.4667
DTL,1.2550E-01,3.0325E-01,1.1940,5.1388E-02,0.8725,1.5342E-05,2.3658,8.5836E-01,0.3438
ESPL1,1.2580E-01,3.0350E-01,1.1311,2.2895E-01,0.6904,2.4506E-05,2.1654,6.8152E-01,0.5375
RNASEH2A,1.2581E-01,3.0350E-01,0.9030,3.7945E-01,0.5039,3.1278E-02,1.6339,4.9979E-01,0.5712
MELK,1.2605E-01,3.0370E-01,0.9416,1.6485E-02,0.7411,9.0754E-07,1.9235,8.9460E-01,0.1603
ZNF436,1.2743E-01,3.0480E-01,-0.6659,6.1029E-01,-0.1565,2.8624E-01,-0.5366,1.7878E-02,-1.3047
FOXE1,1.2773E-01,3.0504E-01,2.9486,7.5154E-03,2.5877,8.7955E-01,1.2821,2.8070E-02,4.9760
PRKG1,1.2792E-01,3.0519E-01,-0.6023,4.8758E-01,-0.3714,6.2255E-02,-0.7406,3.6575E-01,-0.6950
SLC35F6,1.2848E-01,3.0564E-01,-0.2793,2.4599E-01,-0.1319,2.1868E-01,-0.4078,4.5224E-01,-0.2983
NPM1,1.2932E-01,3.0630E-01,0.3924,2.3808E-02,0.3643,4.9611E-01,0.4376,3.9899E-01,0.3752
TOP2A,1.2941E-01,3.0637E-01,1.3092,4.3325E-02,0.9703,1.8462E-09,2.6853,8.7579E-01,0.2720
CCNB2,1.2951E-01,3.0645E-01,1.3075,3.3551E-01,0.6286,2.5851E-06,2.6346,5.8383E-01,0.6593
SEPT11,1.2986E-01,3.0673E-01,-0.5784,8.7447E-02,-0.5644,3.7067E-01,-0.5222,4.6207E-01,-0.6487
FTO,1.3030E-01,3.0707E-01,-0.5525,1.5895E-01,-0.1810,6.5713E-01,-0.2892,1.0514E-01,-1.1872
PJA1,1.3051E-01,3.0724E-01,-0.3397,5.2631E-01,-0.1044,1.0678E-02,-0.5391,3.8474E-01,-0.3755
PTBP2,1.3105E-01,3.0766E-01,0.6042,4.2476E-01,0.2157,3.8814E-03,0.9790,4.9434E-01,0.6180
C12orf29,1.3133E-01,3.0788E-01,0.4136,1.3055E-01,0.2688,5.4005E-01,0.2673,2.5304E-01,0.7045
ERI2,1.3174E-01,3.0820E-01,0.4213,1.0409E-01,0.3874,7.9729E-02,0.6892,7.4078E-01,0.1873
TSPAN3,1.3263E-01,3.0889E-01,-0.3326,1.7794E-01,-0.3298,1.8040E-01,-0.4051,5.6834E-01,-0.2628
FAM19A5,1.3364E-01,3.0968E-01,-0.8812,1.8237E-01,-0.5087,4.5413E-01,-0.5297,2.9253E-01,-1.6051
KIF11,1.3365E-01,3.0969E-01,1.1891,5.0859E-02,0.8786,1.1084E-10,2.5049,8.7820E-01,0.1840
GPC2,1.3411E-01,3.1004E-01,1.0004,6.4251E-02,0.8997,1.5919E-01,1.5118,7.0668E-01,0.5898
C17orf53,1.3426E-01,3.1016E-01,0.8531,3.2658E-01,0.4385,5.0032E-03,1.7644,5.9888E-01,0.3564
FANCI,1.3445E-01,3.1030E-01,1.0064,8.5757E-03,0.8915,9.3116E-06,2.0083,9.2231E-01,0.1193
ST7L,1.3451E-01,3.1035E-01,0.4471,9.8016E-04,0.4448,4.6808E-01,0.4501,4.6198E-01,0.4463
SEPP1,1.3468E-01,3.1048E-01,-1.6469,2.2846E-03,-1.9753,5.6358E-01,-1.5037,3.6558E-01,-1.4616
TIPIN,1.3499E-01,3.1072E-01,0.5307,1.3303E-01,0.3631,2.6589E-02,1.0233,7.7254E-01,0.2056
HOXD9,1.3536E-01,3.1100E-01,-0.8435,5.7123E-01,-0.2749,3.3163E-02,-1.0383,3.2860E-01,-1.2172
KIF24,1.3629E-01,3.1171E-01,0.9839,1.9882E-01,0.5519,4.9424E-05,2.0298,7.3627E-01,0.3698
CHTF18,1.3654E-01,3.1190E-01,1.1389,6.8568E-01,0.3202,3.8838E-06,2.1125,2.5003E-01,0.9840
RCAN1,1.3692E-01,3.1219E-01,0.5379,1.2024E-01,0.5317,7.6971E-02,0.6994,7.3935E-01,0.3826
SCN9A,1.3772E-01,3.1279E-01,1.5225,6.2707E-02,1.6825,8.7421E-01,0.6695,1.4579E-03,2.2155
COL7A1,1.3813E-01,3.1310E-01,1.5399,7.2397E-01,0.2408,2.1162E-01,1.2225,3.7198E-03,3.1564
PREX1,1.3884E-01,3.1364E-01,1.2423,5.1823E-01,0.5044,2.6594E-05,2.3197,4.2266E-01,0.9029
BIRC5,1.3904E-01,3.1380E-01,1.3367,4.8761E-01,0.5469,1.0014E-03,2.3562,4.5278E-01,1.1071
NFE2L3,1.3914E-01,3.1387E-01,1.5275,5.9061E-01,0.2344,3.5100E-01,1.1157,3.9277E-06,3.2323
HDAC9,1.3957E-01,3.1419E-01,-0.8095,1.0702E-01,-1.0681,1.0831E-01,-1.0740,7.2725E-01,-0.2864
ORC5,1.3960E-01,3.1421E-01,0.3608,3.1094E-02,0.4047,2.3200E-01,0.4407,6.7954E-01,0.2369
RP11-150O12.6,1.3984E-01,3.1440E-01,-1.4131,1.4433E-02,-1.1218,9.0352E-01,-0.2517,2.5230E-02,-2.8659
PCNXL2,1.4003E-01,3.1454E-01,-0.5151,2.0618E-02,-0.4517,5.5725E-01,-0.4348,3.6575E-01,-0.6588
CENPI,1.4019E-01,3.1466E-01,1.0715,4.1067E-02,0.6884,1.4879E-09,2.3583,9.0291E-01,0.1679
SNHG10,1.4080E-01,3.1511E-01,0.9772,8.1219E-01,0.1549,2.8002E-02,0.9960,1.0514E-01,1.7807
BATF3,1.4101E-01,3.1527E-01,1.3394,9.0119E-02,1.1234,8.3367E-01,0.5699,2.2016E-02,2.3248
TRIM59,1.4152E-01,3.1565E-01,0.4798,5.6405E-02,0.4302,1.2496E-01,0.7092,7.6558E-01,0.3000
KIAA1377,1.4294E-01,3.1670E-01,-0.6283,5.9984E-02,-0.7239,7.0406E-01,-0.3966,1.8605E-01,-0.7644
PRIMPOL,1.4374E-01,3.1729E-01,0.4345,2.6108E-02,0.3811,4.6809E-02,0.7750,8.7896E-01,0.1475
POLE2,1.4412E-01,3.1757E-01,0.9245,2.4255E-02,0.7166,3.1006E-04,1.9508,9.2814E-01,0.1062
LARGE,1.4459E-01,3.1791E-01,-0.7326,1.5769E-01,-0.6204,2.4839E-03,-1.3245,7.9357E-01,-0.2529
EFNB1,1.4481E-01,3.1807E-01,-0.5424,1.2452E-02,-0.5475,6.1317E-01,-0.3369,3.2860E-01,-0.7429
PLAUR,1.4509E-01,3.1828E-01,0.4757,4.0994E-02,0.5478,1.6086E-01,0.6541,7.5299E-01,0.2251
PAXBP1,1.4613E-01,3.1904E-01,0.4357,2.4323E-01,0.2113,5.5780E-03,0.8111,7.0832E-01,0.2847
TROAP,1.4659E-01,3.1937E-01,1.3056,3.5478E-01,0.6420,3.0787E-05,2.5446,6.0331E-01,0.7300
RIPK4,1.4687E-01,3.1957E-01,-1.2257,1.5362E-02,-1.2971,9.3451E-01,-0.2716,8.8481E-03,-2.1083
RPL22L1,1.4718E-01,3.1980E-01,1.0473,5.9976E-01,0.2550,3.0658E-01,0.7589,5.3062E-02,2.1279
FAM198B,1.4782E-01,3.2026E-01,-1.1973,2.4123E-01,-1.0883,6.3401E-01,-1.1729,8.5556E-02,-1.3307
KRT15,1.4869E-01,3.2089E-01,1.5241,2.9323E-01,0.4417,6.6805E-01,0.5452,1.3973E-03,3.5856
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,