Name,Type,Sex,group,age
FC-01,FC,Female,Y,13
FC-02,FC,Male,Y,13
FC-03,FC,Female,Y,13
FC-04,FC,Male,Y,13
FC-05,FC,Male,Y,13
FC-06,FC,Male,Y,13
FC-07,FC,Female,Y,14
FC-08,FC,Male,Y,13
FC-09,FC,Female,Y,13
FC-10,FC,Female,O,75
FC-11,FC,Male,O,79
FC-12,FC,Female,O,76
FC-13,FC,Male,O,78
FC-14,FC,Male,O,70
FC-15,FC,Male,O,73
FC-16,FC,Male,O,88
FC-17,FC,Female,O,91
FC-18,FC,Male,O,86
SN-01,SN,Female,Y,13
SN-02,SN,Male,Y,13
SN-03,SN,Female,Y,13
SN-04,SN,Male,Y,13
SN-05,SN,Male,Y,12
SN-06,SN,Male,Y,13
SN-07,SN,Male,Y,13
SN-08,SN,Female,Y,14
SN-09,SN,Male,Y,13
SN-10,SN,Female,Y,13
SN-11,SN,Female,O,75
SN-12,SN,Male,O,79
SN-13,SN,Female,O,76
SN-14,SN,Male,O,78
SN-15,SN,Male,O,70
SN-16,SN,Male,O,73
SN-17,SN,Male,O,88
SN-18,SN,Female,O,91
SN-19,SN,Male,O,86